tik_codigo,descripcion,propietario,categoria,ans,nombre_cliente,Linea_Negocio,new_category,new_descripcion
TIK1006,Se debe realizar la configuración de los servidores para soportar al cliente. Instalar los servicios y los accesos requeridos.,16079538,1- Nuevo requerimiento,NR,Cartagueña de Aseo Total ESP,Geoaseo,Nuevo requerimiento,debe realizar configuración servidores soportar cliente instalar servicios accesos requeridos
TIK1015,Análisis Calidad y verificaciones. ,1058818488,1- Nuevo requerimiento,NR,Codensa,Geolumina,Nuevo requerimiento,analisis calidad verificaciones
TIK1007,Crear servicios Geoserver ,24343554,"Publicación de servicios, capas",SS,Llanogas,Geolumina,Servicios,crear servicios geoserver
TIK1008,Crear servicios Geoserver ,24343554,"Publicación de servicios, capas",SS,Llanogas,Geolumina,Servicios,crear servicios geoserver
TIK1020,publicación servicio Geoserver,24343554,1- Nuevo requerimiento,NR,Llanogas,Geolumina,Nuevo requerimiento,publicación servicio geoserver
TKT1000,"Por favor agregar un nuevo evento en el formulario de Registrar Eventos de la aplicacion movil. El nuevo evento es (SE REQUIERE OBRA), y adicionalmente agregar un campo en el que se pueda ingresar el codigo de la denuncia a la que se le carga tal evento",1053860140,,NR,Dosquebradas Energía y Luz S.A,Geolumina,,favor agregar nuevo evento formulario registrar eventos aplicación movil nuevo evento requiere obra adicionalmente agregar campo pueda ingresar codigo denuncia carga tal evento
TIK1532,"Por favor actualizar el CT de la OT_7441 con la matricula CT51859, ya que el sistema no lo permite.",1053860140,Cambiar datos por BD,SS,Applus Norcontrol Panamá S.A,Geolumina,Datos,favor actualizar ct ot_7441 matricula ct51859 sistema permite
TIK1051,Crear servicios Geoserver ,24343554,,,Llanogas,Geolumina,,crear servicios geoserver
TKT10000,Se requiere revisar la orden de trabajo OT_1008565 la cual en la devolucion no esta el botón editar.,1032459195,,NCB,Codensa,Geolumina,,requiere revisar orden trabajo ot_1008565 devolución boton editar
TIK1026,Saber la hora a la que paso el vehículo que realizo una ruta,24343554,1- Nuevo requerimiento,NR,Sociedad aguas del norte antioqueno,Geoaseo,Nuevo requerimiento,saber hora paso vehiculo realizo ruta
TKT10002,revisión documentación codensa,1058818488,,NR,Codensa,Geolumina,,revision documentación condensa
TIK2942,"Error en el Widget Add Data - CSV, sale error de dll.",1053847182,Datos erroneos en Visor,NCC,CAR de Bogotá,Geoambiental,Visor,error midget add data csi sale error del
TIK2515,"En la Operación de Veolia Valle, que cuenta con GPS Cellocator, se tiene configurado el GPS para que cuando el conductor olvide poner la llave el carro le genere un sonido que le recuerde que debe ponerla, el cual continua hasta que el conductor pone la llave. ",1053771474,Configuración de equipos GPS,CON,Veolia (antiguo Grupo Sala),Geoaseo,GPS,operación verla valle cuenta gps cellocator configurado gps conductor olvide poner llave carro genere sonido recuerde debe ponerla continua conductor pone llave
TIK2189,Agregar el proyecto SE Mosquera en Geolumina,1053860140,Cambiar datos por BD,SS,Codensa,Geolumina,Datos,agregar proyecto mosquea geolumina
TIK1056,publicación servicio Geoserver,24343554,1- Nuevo requerimiento,NR,Llanogas,Geolumina,Nuevo requerimiento,publicación servicio geoserver
TIK1067,Saber la hora a la que paso el vehículo que realizo una ruta,24343554,1- Nuevo requerimiento,NR,Sociedad aguas del norte antioqueno,Geoaseo,Nuevo requerimiento,saber hora paso vehiculo realizo ruta
TKT10008,LLAMADA ENTRANTE,1053830949,,,Veolia (antiguo Grupo Sala),Geoaseo,,llamada entrante
TKT10009,Se requiere cambiar el punto físico de la orden OT_1006653  Punto físico correcto :  45532620  Punto físico errado:  45538620,1032459195,,NCB,Codensa,Geolumina,,requiere cambiar punto fisico orden ot_1006653 punto fisico correcto punto fisico errado
TIK1084,Cambio de iconos menu geolumina en todos los perfiles y en los tres ambientes. ,1058818488,Adición o modificación de funcionalidad en perfil,NR,Codensa,Geolumina,Funcionalidad,cambio iconos menu geolumina perfiles tres ambientes
TIK1073,Publicación servicios Cartaseo en ArcGis Server,24343554,1- Nuevo requerimiento,NR,Cartagueña de Aseo Total ESP,Geoaseo,Nuevo requerimiento,publicación servicios cartas arcos server
TIK7169,Conexión datos CAN asistida.,1053831061,1- Nuevo requerimiento,NR,Cartagueña de Aseo Total ESP,Geoaseo,Nuevo requerimiento,conexion datos can asistida
TKT10010,Se requiere dar por canceladas las siguientes ordenes OT_1020422 y OT_1021095,1032459195,,NCB,Codensa,Geolumina,,requiere dar canceladas siguientes ordenes ot_1020422 ot_1021095
TKT10011,Se requiere de la orden de trabajo OT_1004958 eliminar el 547927  018  19353008  KR 01 A NO 22 D SUR - 55  Ninguna,1032459195,,SS,Codensa,Geolumina,,requiere orden trabajo ot_1004958 eliminar ir d sur ninguna
TIK1957,Informe de soporte y mantenimiento INVAMA Julio y Agosto,1053860140,,,INVAMA Instituto de Valorización de Manizales,Geolumina,,informe soporte mantenimiento invada julio agosto
TIK6386,Desapareció la función Cambiar número expediente,1049609975,No carga un formulario,NCB,CAR de Boyacá,Geoambiental,Formulario,desaparecio funciona cambiar numero expediente
TIK1077,"revisión reporte matriz todas, salen datos duplicados",1058818488,Faltan datos en un reporte,NCC,Codensa,Geolumina,Reporte,revision reporte matriz todas salen datos duplicados
TKT10012,LLAMADA ENTRANTE,1053847182,,,CAR de Boyacá,Geoambiental,,llamada entrante
TIK1087,Revisar shape,24343554,Carga de datos masiva,CD,Bioagrícola del Llano,Geoaseo,Datos,revisar shape
TIK6871,"Buenas Noches,

De manera muy amable solicito realizar el cargue de ciclos para EMAS PASTO enviado en el adjunto. Algunas de las HRECs contienen ciclos, por tanto solicito amablemente eliminar todos los ciclos de las HRECs consignadas e insertar los nuevos.
Una vez se realice el cargue del mismo, por favor cerrar las hojas de recolección",1053792868,Cambiar datos por BD,SS,Veolia (antiguo Grupo Sala),Geoaseo,Datos,buenas noches manera amable solicito realizar cargue ciclos esas pasto enviado adjunto eres contienen ciclos solicito amablemente eliminar ciclos eres consignadas insertar nuevos vez realice cargue mismo favor cerrar hojas recolección
TIK1090,Iniciacion del Proyecto SIUX Corpoboyaca,1053771474,1- Nuevo requerimiento,NR,CAR de Boyacá,Geoambiental,Nuevo requerimiento,iniciación proyecto siux corpoboyaca
TIK1750,"Revisión del formulario de informe técnico (duplica registros), permisos sobre el formulario de revisión informe técnico y estado Atendida en Asignar Jurídico.",1053847182,Calculo erroneo en formulario,NCB,CAR de Boyacá,Geoambiental,Formulario,revision formulario informe tecnico duplica registros permisos formulario revision informe tecnico atendida asignar juridico
TIK1577,Manuales de usuario Llanogas ,1053860140,Cambiar datos por BD,SS,Llanogas,Geolumina,Datos,manuales usuario llantas
TKT10014,Revision del reporte detallado que no aparece honda,1053830949,,SS,Veolia (antiguo Grupo Sala),Geoaseo,,revision reporte detallado aparece honda
TKT10015,LLAMADA ENTRANTE,1053828550,,,INVAMA Instituto de Valorización de Manizales,Geolumina,,llamada entrante
TKT10016,"En el perfil del gestionador 1024514396 no se logran ver las 11 cumplimentaciones que actualmente tiene asignadas , se logra ver una pero esta no muestra información .",1032459195,,SS,Codensa,Geolumina,,perfil gestionado logran ver cumplimentaciones actualmente asignadas logra ver muestra información
TKT10019,Realizar propuesta de valor Llanogas.,1053828550,,SS,Llanogas,Geolumina,,realizar propuesta valor llantas
TIK2082,"Me podría colaborar con la adicionar este proyecto en Geolumina que no está.
El proyecto se llama REPOSICIÓN CELDAS SE VERAGUAS.",1053860140,Cambiar datos por BD,SS,Codensa,Geolumina,Datos,podria colaborar adicionar proyecto geolumina proyecto llama reposición celdas paraguas
TIK1207,solicito se asigne en Geolúmina el perfil del gestionador Jesus Prieto a Alta Tensión.,1032459195,Calculo erroneo en formulario,NCB,Codensa,Geolumina,Formulario,solicito asigne geolumina perfil gestionado jesus prieto alta tension
TKT10021,OTs que no salen en el reporte de ordenes de trabajo. Por favor revisar las ordenes que no salen en el reporte y tienen elementos levantados. correo 7 de marzo de 2019. Laura marin.,1053828550,,NCC,Applus Norcontrol Panamá S.A,Geolumina,,ots salen reporte ordenes trabajo favor revisar ordenes salen reporte elementos levantados correo marzo laura marin
TKT10022,"al comparar los datos de Power Bi con el reporte de combustible detallado en la ciudad de Cartagena nos damos cuenta que no concuerda como se muestra en la imagen adjunta, es como si no se actualizara la informacion en el BI de recoleccion, agradecemos su ayuda para resolver esto lo antes posible",1053830949,,SS,Veolia (antiguo Grupo Sala),Geoaseo,,comparar datos power bi reporte combustible detallado ciudad cartagena damos cuenta concuerda muestra imagen adjunta si actualizara información bi recolección agradecemos ayuda resolver posible
TKT10023,"No se puede asignar, no filtra, pero si aparece creada/OT_19346. Correo 7 de marzo 2019. Laura Marín",1053828550,,NCC,Applus Norcontrol Panamá S.A,Geolumina,,puede asignar filtra si aparece creada ot_19346 correo marzo laura marin
TKT8456,Widget de Atender Denuncias Nuevo El mensaje de alerta cuando indica que ya existe una denuncia creada en el sistema Este elemento ya tiene una denuncia registrada Fecha 12272018 12 AM Radicado 44761 indique también el usuario que radico la denuncia inicial.,1053828550,,NR,Dosquebradas Energía y Luz S.A,Geolumina,,midget atender denuncias nuevo mensaje alerta indica existe denuncia creada sistema elemento denuncia registrada fecha am radicado indique tambien usuario radico denuncia inicial
TKT10024,"No se puede asignar, no filtra, pero si aparece creada/OT_19346, OT_19376. Adicional a la OT mencionada en el correo en cola por favor revisar esta también. Correo 7 de marzo 2019. Laura Marín.",1053828550,,NCC,Applus Norcontrol Panamá S.A,Geolumina,,puede asignar filtra si aparece creada ot_19346 ot_19376 adicional ot mencionada correo cola favor revisar tambien correo marzo laura marin
TKT10025,Por favor actualizar el formulario de Planear Ruta de recolección diaria para que al exportar quede el nombre completo de la ruta y no únicamente el código,1053830949,,SS,Veolia (antiguo Grupo Sala),Geoaseo,,favor actualizar formulario planear ruta recolección diaria exportar quede nombre completo ruta unicamente codigo
TKT10031,Revision de los datos de combustible cargados ene l Power BI,1053830949,,SS,Veolia (antiguo Grupo Sala),Geoaseo,,revision datos combustible cargados ene l power bi
TIK2579,"reporte de facturación (per02- reportes -Usuarios AIT - 5. Liquidación Baremos Matriz (todas) , la información del acta la debe sacar de la tabla t_activi_baremo_ot no de la tabla ot como se viene haciendo hasta ahora.   ",1053860140,Configuración de nuevo Reporte,NR,Codensa,Geolumina,Reporte,reporte facturación pero reportes usuarios it liquidación haremos matriz todas información acta debe sacar tabla t_activi_baremo_ot tabla ot viene haciendo ahora
TKT10033,"OT_19711/MT/CHITRÉ/CUADRILLA 14/No aparecen elementos en el visor. Por favor recuperar los elementos mencionados en el correo en cola.  OT_19711 le hace falta (19 apoyos, 3CT, 3 trafos). OT_19710 le hacen falta (6 apoyos , 1 CT con dos trafos). Correo 7 de marzo 2019. Laura Marín.",1053828550,,NCC,Applus Norcontrol Panamá S.A,Geolumina,,ot_19711 mt chipre cuadrilla aparecen elementos visor favor recuperar elementos mencionados correo cola ot_19711 hace falta apoyos ct tragos ot_19710 hacen falta apoyos ct dos tragos correo marzo laura marin
TIK1541,"Actualmente la tabla de tg_evento_notificacion_h solo llena supongo que por medio de la tarea los ultimos 30 dias se necesita generar la oportunidad que se pueda consultar mas tiempo sin que se pegue la plataforma
",1053830949,1- Nuevo requerimiento,NR,Veolia (antiguo Grupo Sala),Geoaseo,Nuevo requerimiento,actualmente tabla tg_evento_notificacion_h solo llena supongo medio tarea ultimos dias necesita generar oportunidad pueda consultar mas tiempo pegue plataforma
TIK3169,"Solicito su colaboración para validar el motivo por el cual las ot que se relacionan a continuación no aparecen en el motor de búsqueda del aplicativo Geolumina, los ids asociados a estas OT fueron denegados por este motivo. Agradezco validar la información.",1053860140,Faltan datos en un reporte,NCC,Codensa,Geolumina,Reporte,solicito colaboración validar motivo ot relacionan continuación aparecen motor busqueda paliativo geolumina ido asociados ot denegados motivo agradezco validar información
TKT10036,Por parte del Ing Victor Pinto se requiere realizar una modificación sobre la cantidad de horas cobrados en las ordenes adjuntas en este correo de la siguiente forma :  Las ordenes que tengan el  baremo 192 se les debe sumar a la cantidad que tengan las del archivo adjunto. Las ordenes que tengan el baremos 191 se de reemplazar por el 192 conservando las horas del anterior y sumarle las del archivo adjunto Las ordenes que no tengan el Baremos 192 se debe crear con las horas del archivo adjunto,1032459195,,SS,Codensa,Geolumina,,parte ing victor pinto requiere realizar modificación cantidad horas cobrados ordenes adjuntas correo siguiente forma ordenes baremo debe sumar cantidad archivo adjunto ordenes haremos reemplazar conservando horas anterior sumarle archivo adjunto ordenes haremos debe crear horas archivo adjunto
TKT10037,verificacion de Librerias CAN,1053830949,,SS,Veolia (antiguo Grupo Sala),Geoaseo,,verificación librerias can
TIK1205,Por favor eliminar las OTs de BT zona METRO ,1053860140,Cambiar datos por BD,SS,Applus Norcontrol Panamá S.A,Geolumina,Datos,favor eliminar ots bt zona metro
TIK1398,"Según lo conversado, se requiere cambiar la fecha de gestión de las siguientes OT´S en GEOLUMINA. Debe quedar 30/06/2019.

 

OT_1050912
OT_1049042
OT_1049035
OT_ 1050911",1032459195,Cambiar datos por BD,SS,Codensa,Geolumina,Datos,segun conversado requiere cambiar fecha gestion siguientes ot s geolumina debe quedar ot_1050912 ot_1049042 ot_1049035 ot
